#Wavelength (nm),"M1, M2, or M3
#2 years"
1345,0.941828105
1344,0.941750552
1343,0.942068017
1342,0.94186491
1341,0.941506411
1340,0.94178697
1339,0.941548971
1338,0.941598981
1337,0.941584816
1336,0.941776396
1335,0.941845105
1334,0.941687145
1333,0.941378142
1332,0.941404673
1331,0.941464729
1330,0.941334432
1329,0.941501865
1328,0.941800957
1327,0.941271324
1326,0.941363894
1325,0.941262309
1324,0.941293697
1323,0.94168939
1322,0.941137435
1321,0.941070493
1320,0.941038227
1319,0.941057091
1318,0.940571683
1317,0.941019719
1316,0.940877927
1315,0.940243301
1314,0.940539366
1313,0.940899544
1312,0.940510629
1311,0.939969114
1310,0.940422217
1309,0.940119228
1308,0.939987901
1307,0.940050983
1306,0.940170345
1305,0.939902611
1304,0.939745083
1303,0.940415618
1302,0.940194391
1301,0.939559828
1300,0.939969393
1299,0.939899394
1298,0.939415639
1297,0.939886367
1296,0.939500682
1295,0.940055586
1294,0.939483846
1293,0.939493186
1292,0.939577986
1291,0.939376825
1290,0.939680354
1289,0.939481144
1288,0.939112148
1287,0.939133568
1286,0.939211267
1285,0.938525937
1284,0.93855945
1283,0.939022732
1282,0.939034634
1281,0.938663451
1280,0.938945376
1279,0.938725268
1278,0.938702653
1277,0.939254373
1276,0.93870402
1275,0.938213634
1274,0.938175729
1273,0.938970928
1272,0.938461259
1271,0.938234189
1270,0.938187841
1269,0.938747133
1268,0.938413048
1267,0.937925371
1266,0.938251673
1265,0.937418181
1264,0.937705803
1263,0.937706273
1262,0.937906259
1261,0.937738679
1260,0.937536151
1259,0.937511145
1258,0.937359365
1257,0.936968962
1256,0.937875996
1255,0.937491805
1254,0.93777167
1253,0.937074369
1252,0.937380238
1251,0.937202346
1250,0.937391256
1249,0.937312266
1248,0.937199682
1247,0.937872041
1246,0.937193108
1245,0.937305145
1244,0.937211278
1243,0.937366873
1242,0.936974983
1241,0.936897628
1240,0.937229888
1239,0.936968943
1238,0.936716741
1237,0.936767127
1236,0.93724521
1235,0.937329973
1234,0.937197056
1233,0.936860231
1232,0.936320903
1231,0.936651382
1230,0.936266836
1229,0.936914285
1228,0.93631101
1227,0.9367589
1226,0.936577606
1225,0.936534538
1224,0.9366583
1223,0.936515465
1222,0.936475048
1221,0.936077652
1220,0.936669629
1219,0.936064637
1218,0.936268972
1217,0.93605643
1216,0.936862526
1215,0.935994155
1214,0.935980167
1213,0.935945047
1212,0.93607825
1211,0.935870463
1210,0.936286894
1209,0.93633522
