Preliminary design data,,
1551,,
Wavelength (nm),%R,%T
1733,5.39E-02,0.9460143
1734,5.36E-02,0.9463425
1735,5.33E-02,0.9466861
1736,5.29E-02,0.9470431
1737,5.26E-02,0.9474117
1738,5.22E-02,0.94779
1739,5.18E-02,0.9481761
1740,5.14E-02,0.9485679
1741,5.10E-02,0.9489635
1742,0.0506013,0.9493608
1743,5.02E-02,0.9497579
1744,4.98E-02,0.9501527
1745,4.94E-02,0.9505433
1746,4.90E-02,0.9509279
1747,4.87E-02,0.9513043
1748,0.0482913,0.9516709
1749,4.79E-02,0.9520258
1750,4.76E-02,0.9523674
1751,4.73E-02,0.9526939
1752,4.70E-02,0.9530038
1753,0.0466666,0.9532957
1754,4.64E-02,0.9535681
1755,4.61E-02,0.9538199
1756,4.59E-02,0.9540498
1757,4.57E-02,0.9542568
1758,4.55E-02,0.9544399
1759,0.0453639,0.9545985
1760,4.52E-02,0.9547318
1761,4.51E-02,0.9548396
1762,4.50E-02,0.9549212
1763,4.50E-02,0.954976
1764,4.50E-02,0.955004
1765,4.50E-02,0.9550053
1766,4.50E-02,0.9549798
1767,4.50E-02,0.9549279
1768,4.51E-02,0.9548498
1769,4.52E-02,0.9547461
1770,4.53E-02,0.9546173
1771,4.55E-02,0.9544643
1772,4.57E-02,0.9542877
1773,4.59E-02,0.9540887
1774,4.61E-02,0.953868
1775,4.63E-02,0.953627
1776,4.66E-02,0.9533668
1777,0.0468744,0.9530886
1778,4.72E-02,0.9527939
1779,4.75E-02,0.9524841
1780,4.78E-02,0.9521605
1781,4.81E-02,0.9518251
1782,4.85E-02,0.951479
1783,4.88E-02,0.951124
1784,4.92E-02,0.9507615
1785,4.96E-02,0.9503933
1786,4.99E-02,0.9500209
1787,0.0503174,0.9496461
1788,5.07E-02,0.9492704
1789,5.11E-02,0.9488955
1790,5.14E-02,0.9485229
1791,5.18E-02,0.9481543
1792,5.22E-02,0.9477911
1793,5.25E-02,0.9474349
1794,5.29E-02,0.9470872
1795,5.32E-02,0.9467493
1796,5.35E-02,0.9464227
1797,5.39E-02,0.9461086
1798,5.42E-02,0.9458083
1799,5.44E-02,0.945523
1800,5.47E-02,0.9452537
1801,5.50E-02,0.9450015
1802,5.52E-02,0.9447675
1803,5.54E-02,0.9445523
1804,5.56E-02,0.944357
1805,5.58E-02,0.9441821
1806,0.055936,0.9440283
1807,0.0560681,0.9438963
1808,5.62E-02,0.9437864
1809,5.63E-02,0.943699
1810,5.63E-02,0.9436345
1811,5.64E-02,0.943593
1812,5.64E-02,0.9435746
1813,5.64E-02,0.9435795
1814,5.64E-02,0.9436078
1815,0.0563054,0.9436592
1816,5.62E-02,0.9437335
1817,0.0561345,0.9438302
1818,5.60E-02,0.943949
1819,5.59E-02,0.9440897
1820,5.57E-02,0.9442514
1821,5.55E-02,0.9444347
1822,5.53E-02,0.9446379
1823,5.51E-02,0.9448603
1824,5.49E-02,0.9451011
1825,5.46E-02,0.9453593
1826,5.43E-02,0.945634
1827,5.40E-02,0.9459242
1828,5.37E-02,0.9462289
1829,5.34E-02,0.946547
