Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
1237,0.9854959,1.45E-02
1238,0.9851981,1.48E-02
1239,0.9847777,1.52E-02
1240,0.9842324,1.58E-02
1241,0.9835602,0.0164322
1242,0.9827607,1.72E-02
1243,0.9818373,1.82E-02
1244,0.9807997,1.92E-02
1245,0.9796672,2.03E-02
1246,0.9784721,2.15E-02
1247,0.9772626,2.27E-02
1248,0.976104,2.39E-02
1249,0.975076,2.49E-02
1250,0.974264,2.57E-02
1251,0.9737457,2.62E-02
1252,0.9735734,2.64E-02
1253,0.9737604,2.62E-02
1254,0.9742771,2.57E-02
1255,0.9750597,0.0249327
1256,0.9760257,2.40E-02
1257,0.9770916,0.0229011
1258,0.978184,2.18E-02
1259,0.979246,2.07E-02
1260,0.9802369,1.98E-02
1261,0.9811306,0.0188625
1262,0.9819122,1.81E-02
1263,0.9825745,1.74E-02
1264,0.9831151,1.69E-02
1265,0.9835346,0.0164588
1266,0.9838346,1.62E-02
1267,0.9840173,0.0159761
1268,0.9840841,1.59E-02
1269,0.9840358,1.60E-02
1270,0.9838722,0.0161212
1271,0.9835925,1.64E-02
1272,0.983195,1.68E-02
1273,0.9826786,0.0173148
1274,0.982043,1.80E-02
1275,0.9812905,1.87E-02
1276,0.980428,1.96E-02
1277,0.9794696,2.05E-02
1278,0.9784392,2.16E-02
1279,0.9773737,2.26E-02
1280,0.9763237,2.37E-02
1281,0.9753525,2.46E-02
1282,0.9745288,2.55E-02
1283,0.9739197,2.61E-02
1284,0.9735789,2.64E-02
1285,0.9735376,2.65E-02
1286,0.9737995,2.62E-02
1287,0.97434,0.025653
1288,0.9751114,2.49E-02
1289,0.9760519,2.39E-02
1290,0.9770952,2.29E-02
1291,0.9781796,2.18E-02
1292,0.9792528,2.07E-02
1293,0.9802752,1.97E-02
1294,0.9812188,1.88E-02
1295,0.9820657,1.79E-02
1296,0.9828058,1.72E-02
1297,0.9834346,1.66E-02
1298,0.9839507,1.60E-02
1299,0.9843548,1.56E-02
1300,0.984648,1.53E-02
1301,0.9848315,0.0151624
1302,0.9849053,0.0150885
1303,0.9848687,1.51E-02
1304,0.9847192,1.53E-02
1305,0.9844529,1.55E-02
1306,0.9840643,1.59E-02
1307,0.983547,1.64E-02
1308,0.9828946,1.71E-02
1309,0.9821023,1.79E-02
1310,0.9811708,0.0188226
1311,0.9801111,1.99E-02
1312,0.9789504,2.10E-02
1313,0.9777363,2.23E-02
1314,0.9765307,2.35E-02
1315,0.9753968,2.46E-02
1316,0.974384,2.56E-02
1317,0.9735299,2.65E-02
1318,0.9728722,2.71E-02
1319,0.9724572,2.75E-02
1320,0.9723336,2.77E-02
1321,0.9725357,2.75E-02
1322,0.9730691,2.69E-02
1323,0.9739043,2.61E-02
1324,0.974982,2.50E-02
1325,0.9762262,0.0237668
1326,0.9775579,2.24E-02
1327,0.978907,2.11E-02
1328,0.9802183,1.98E-02
1329,0.9814528,1.85E-02
1330,0.9825865,1.74E-02
1331,0.9836069,1.64E-02
1332,0.9845101,1.55E-02
1333,0.9852976,1.47E-02
1334,0.9859741,1.40E-02
1335,0.986546,1.34E-02
1336,0.9870204,1.30E-02
1337,0.987404,1.26E-02
1338,0.9877032,0.0122904
1339,0.9879237,0.0120699
1340,0.9880703,1.19E-02
1341,0.9881473,1.18E-02
1342,0.988158,1.18E-02
1343,0.9881052,1.19E-02
1344,0.9879911,1.20E-02
1345,0.9878173,1.22E-02
1346,0.9875854,1.24E-02
1347,0.9872963,1.27E-02
1348,0.9869515,1.30E-02
1349,0.9865525,1.34E-02
1350,0.9861018,1.39E-02
1351,0.9856035,1.44E-02
1352,0.9850632,1.49E-02
1353,0.9844895,1.55E-02
1354,0.9838938,1.61E-02
1355,0.9832903,1.67E-02
1356,0.9826961,1.73E-02
1357,0.9821301,1.79E-02
1358,0.9816114,1.84E-02
1359,0.9811574,1.88E-02
1360,0.9807812,0.0192111
1361,0.9804895,1.95E-02
1362,0.9802803,1.97E-02
1363,0.9801412,1.99E-02
1364,0.9800482,1.99E-02
1365,0.9799638,2.00E-02
1366,0.9798384,2.02E-02
1367,0.9796261,0.0203656
1368,0.9793632,2.06E-02
1369,0.9793296,2.07E-02
1370,0.979867,2.01E-02
1371,0.9807245,1.93E-02
1372,0.9814382,1.86E-02
1373,0.9818841,1.81E-02
1374,0.9821071,1.79E-02
1375,0.9821588,1.78E-02
1376,0.9820688,1.79E-02
1377,0.9818503,1.81E-02
1378,0.9815072,0.018484
1379,0.9810378,0.0189533
1380,0.9804378,1.96E-02
1381,0.9797036,0.0202872
1382,0.9788296,2.12E-02
1383,0.977814,2.22E-02
1384,0.976661,2.33E-02
1385,0.9753845,2.46E-02
1386,0.9740133,2.60E-02
1387,0.9725971,2.74E-02
1388,0.9712114,2.88E-02
1389,0.9699596,3.00E-02
1390,0.968967,3.10E-02
1391,0.9683653,3.16E-02
1392,0.9682664,0.0317222
1393,0.9687333,3.13E-02
1394,0.9697581,3.02E-02
1395,0.971262,2.87E-02
1396,0.9731146,2.69E-02
1397,0.975166,2.48E-02
1398,0.977277,2.27E-02
1399,0.9793376,2.07E-02
1400,0.9812729,1.87E-02
1401,0.9830452,1.69E-02
1402,0.9846313,1.54E-02
1403,0.9860304,1.40E-02
1404,0.9872521,1.27E-02
1405,0.9883112,1.17E-02
1406,0.9892246,0.010762
1407,0.9900089,9.98E-03
1408,0.9906797,9.31E-03
1409,0.9912511,8.73E-03
1410,0.9917352,8.25E-03
1411,0.9921423,7.84E-03
1412,0.9924811,7.50E-03
1413,0.9927588,7.22E-03
1414,0.992981,7.00E-03
1415,0.9931524,6.83E-03
1416,0.9932763,6.70E-03
1417,0.993355,6.63E-03
1418,0.9933898,6.59E-03
1419,0.9933813,6.60E-03
1420,0.9933288,6.65E-03
1421,0.9932308,6.75E-03
1422,0.9930845,6.89E-03
1423,0.9928864,7.09E-03
1424,0.9926309,7.34E-03
1425,0.9923115,7.66E-03
1426,0.9919193,8.05E-03
1427,0.9914435,8.52E-03
1428,0.9908704,9.09E-03
1429,0.9901832,9.77E-03
1430,0.9893613,1.06E-02
1431,0.9883802,1.16E-02
1432,0.987211,1.27E-02
1433,0.9858214,1.41E-02
1434,0.9841781,1.57E-02
1435,0.9822518,1.77E-02
1436,0.980028,1.99E-02
1437,0.9775249,2.24E-02
1438,0.9748201,2.51E-02
1439,0.9720812,2.78E-02
1440,0.969584,3.03E-02
1441,0.9676903,0.0321569
1442,0.9667425,3.31E-02
1443,0.9669446,3.29E-02
1444,0.9682598,3.16E-02
1445,0.9704265,0.029433
1446,0.9730791,2.68E-02
1447,0.9758755,2.40E-02
1448,0.9785714,0.0213257
1449,0.9810284,1.89E-02
1450,0.9831904,1.67E-02
1451,0.9850519,1.49E-02
1452,0.9866346,1.33E-02
1453,0.9879706,1.20E-02
1454,0.9890945,1.08E-02
1455,0.9900385,9.91E-03
1456,0.9908308,9.12E-03
1457,0.9914956,8.46E-03
1458,0.9920525,7.90E-03
1459,0.9925178,7.44E-03
1460,0.9929046,7.05E-03
1461,0.9932245,6.74E-03
1462,0.9934847,6.48E-03
1463,0.9936919,6.27E-03
1464,0.993851,6.11E-03
1465,0.993966,5.99E-03
1466,0.9940394,5.92E-03
1467,0.9940726,5.88E-03
1468,0.9940657,5.89E-03
1469,0.994018,5.93E-03
1470,0.9939265,6.02E-03
1471,0.9937863,6.16E-03
1472,0.993589,6.35E-03
1473,0.993319,6.60E-03
1474,0.9929467,6.96E-03
1475,0.9924077,7.46E-03
1476,0.9915388,8.27E-03
1477,0.9898453,9.82E-03
1478,0.9859056,1.34E-02
1479,0.9820265,1.70E-02
1480,0.9854205,1.40E-02
1481,0.9871856,1.25E-02
1482,0.9872617,1.26E-02
1483,0.9866075,1.33E-02
1484,0.9855341,1.43E-02
1485,0.9841385,1.57E-02
1486,0.982453,1.74E-02
1487,0.9804969,1.94E-02
1488,0.978305,2.16E-02
1489,0.9759511,2.39E-02
1490,0.9735673,2.63E-02
1491,0.9713537,2.85E-02
1492,0.9695629,3.03E-02
1493,0.9684485,3.14E-02
1494,0.9681865,3.17E-02
1495,0.9688095,3.10E-02
1496,0.9701948,2.97E-02
1497,0.9721147,2.77E-02
1498,0.9743164,2.56E-02
1499,0.9765816,2.33E-02
1500,0.9787568,2.11E-02
1501,0.9807562,1.91E-02
1502,0.9825318,1.74E-02
1503,0.9840721,1.58E-02
1504,0.9853832,1.45E-02
1505,0.9864778,1.34E-02
1506,0.9873692,0.0125165
1507,0.9880652,1.18E-02
1508,0.9885668,0.0112918
1509,0.988864,1.10E-02
1510,0.9889392,1.09E-02
1511,0.9887859,1.10E-02
